district_name,lgd_code
Lucknow,1001
Kanpur,1002
Agra,1003
Varanasi,1004
Allahabad,1005
Meerut,1006
Mathura,1007
Bareilly,1008
Pune,1009
Nashik,1010
Aurangabad,1011
Nagpur,1012
Thane,1013
Solapur,1014
Kolhapur,1015
Amravati,1016
Jaipur,1017
Jodhpur,1018
Udaipur,1019
Kota,1020
Ajmer,1021
Bikaner,1022
Bharatpur,1023
Alwar,1024
Patna,1025
Gaya,1026
Muzaffarpur,1027
Bhagalpur,1028
Darbhanga,1029
Arrah,1030
Begusarai,1031
Ahmedabad,1032
Surat,1033
Vadodara,1034
Rajkot,1035
Bhavnagar,1036
Jamnagar,1037
Gandhinagar,1038
Chennai,1039
Coimbatore,1040
Madurai,1041
Tiruchirappalli,1042
Salem,1043
Tirunelveli,1044
Vellore,1045
Bengaluru,1046
Mysuru,1047
Hubli,1048
Mangaluru,1049
Belagavi,1050
Vijayapura,1051
Kalaburagi,1052
Hyderabad,1053
Warangal,1054
Vijayawada,1055
Visakhapatnam,1056
Guntur,1057
Nellore,1058
Kurnool,1059
Bhopal,1060
Indore,1061
Gwalior,1062
Jabalpur,1063
Ujjain,1064
Sagar,1065
Rewa,1066
Satna,1067
Kolkata,1068
Howrah,1069
Durgapur,1070
Asansol,1071
Siliguri,1072
Bardhaman,1073
Malda,1074
Mumbai,1075
Delhi,1076
Gurugram,1077
Noida,1078
Faridabad,1079
Ghaziabad,1080
Chandigarh,1081
Dehradun,1082
Haridwar,1083
Rishikesh,1084
Nainital,1085
Shimla,1086
Dharamsala,1087
Srinagar,1088
Ranchi,1089
Dhanbad,1090
Jamshedpur,1091
Bokaro,1092
Hazaribagh,1093
Bhubaneswar,1094
Cuttack,1095
Raipur,1096
Bilaspur,1097
Durg,1098
Thiruvananthapuram,1099
Kochi,1100
Kozhikode,1101
Thrissur,1102
Guwahati,1103
Dibrugarh,1104
Silchar,1105
Agartala,1106
Imphal,1107
Shillong,1108
Itanagar,1109
